strategy,thinking_type,high_share,low_share,high_count,low_count,total_tasks
PRESSURE,Format preserving,0.3157894736842105,0.10344827586206896,12,9,21
PRESSURE,Plain-answer fragile,0.19230769230769232,0.18604651162790697,10,16,26
PRESSURE,Execution-limited,0.23529411764705882,0.08163265306122448,12,20,32
PRESSURE,Full-reasoning dependent,0.2235294117647059,0.09879253567508232,76,90,166
PRESSURE,Routine recognition,0.2755102040816326,0.11290322580645161,27,14,41
PRESSURE,Local repair,0.23529411764705882,0.15,8,6,14
PRESSURE,Expression expansion,0.2711864406779661,0.10996563573883161,32,32,64
PRESSURE,Style preserving,0.1836734693877551,0.14285714285714285,9,12,21
PRESSURE,Long-context fidelity,0.2564102564102564,0.10526315789473684,10,6,16
PRESSURE,Reviewable repair,0.3,0.058823529411764705,3,1,4
PRESSURE,Trajectory sensitive,0.16666666666666666,0.0,2,0,2
PRESSURE,Strict verification,0.2,0.0,1,0,1
ENCOURAGE,Plain-answer fragile,0.23076923076923078,0.1744186046511628,12,15,27
ENCOURAGE,Execution-limited,0.21568627450980393,0.22040816326530613,11,54,65
ENCOURAGE,Full-reasoning dependent,0.21470588235294116,0.21075740944017562,73,192,265
ENCOURAGE,Routine recognition,0.1836734693877551,0.2661290322580645,18,33,51
ENCOURAGE,Local repair,0.11764705882352941,0.25,4,10,14
ENCOURAGE,Long-context fidelity,0.20512820512820512,0.22807017543859648,8,13,21
ENCOURAGE,Style preserving,0.20408163265306123,0.21428571428571427,10,18,28
ENCOURAGE,Expression expansion,0.1694915254237288,0.20618556701030927,20,60,80
ENCOURAGE,Reviewable repair,0.2,0.23529411764705882,2,4,6
ENCOURAGE,Format preserving,0.21052631578947367,0.19540229885057472,8,17,25
ENCOURAGE,Strict verification,0.2,0.0,1,0,1
ENCOURAGE,Trajectory sensitive,0.25,0.3,3,3,6
CRITICAL,Format preserving,0.21052631578947367,0.22988505747126436,8,20,28
CRITICAL,Plain-answer fragile,0.21153846153846154,0.1744186046511628,11,15,26
CRITICAL,Routine recognition,0.2653061224489796,0.12903225806451613,26,16,42
CRITICAL,Long-context fidelity,0.23076923076923078,0.14035087719298245,9,8,17
CRITICAL,Full-reasoning dependent,0.21470588235294116,0.16355653128430298,73,149,222
CRITICAL,Local repair,0.23529411764705882,0.125,8,5,13
CRITICAL,Execution-limited,0.2549019607843137,0.1510204081632653,13,37,50
CRITICAL,Strict verification,0.4,0.0,2,0,2
CRITICAL,Style preserving,0.24489795918367346,0.20238095238095238,12,17,29
CRITICAL,Expression expansion,0.211864406779661,0.2027491408934708,25,59,84
CRITICAL,Reviewable repair,0.2,0.23529411764705882,2,4,6
CRITICAL,Trajectory sensitive,0.25,0.2,3,2,5
MISLEADING,Long-context fidelity,0.1282051282051282,0.2982456140350877,5,17,22
MISLEADING,Plain-answer fragile,0.17307692307692307,0.20930232558139536,9,18,27
MISLEADING,Full-reasoning dependent,0.17647058823529413,0.22502744237102085,60,205,265
MISLEADING,Routine recognition,0.16326530612244897,0.22580645161290322,16,28,44
MISLEADING,Local repair,0.23529411764705882,0.225,8,9,17
MISLEADING,Style preserving,0.16326530612244897,0.21428571428571427,8,18,26
MISLEADING,Expression expansion,0.11016949152542373,0.26804123711340205,13,78,91
MISLEADING,Reviewable repair,0.1,0.23529411764705882,1,4,5
MISLEADING,Format preserving,0.15789473684210525,0.2413793103448276,6,21,27
MISLEADING,Strict verification,0.2,0.3333333333333333,1,1,2
MISLEADING,Execution-limited,0.058823529411764705,0.22857142857142856,3,56,59
MISLEADING,Trajectory sensitive,0.16666666666666666,0.3,2,3,5
HEURISTIC,Plain-answer fragile,0.19230769230769232,0.2558139534883721,10,22,32
HEURISTIC,Execution-limited,0.23529411764705882,0.3183673469387755,12,78,90
HEURISTIC,Routine recognition,0.11224489795918367,0.2661290322580645,11,33,44
HEURISTIC,Full-reasoning dependent,0.17058823529411765,0.3018660812294182,58,275,333
HEURISTIC,Local repair,0.17647058823529413,0.25,6,10,16
HEURISTIC,Style preserving,0.20408163265306123,0.2261904761904762,10,19,29
HEURISTIC,Expression expansion,0.23728813559322035,0.21305841924398625,28,62,90
HEURISTIC,Long-context fidelity,0.1794871794871795,0.22807017543859648,7,13,20
HEURISTIC,Reviewable repair,0.2,0.23529411764705882,2,4,6
HEURISTIC,Format preserving,0.10526315789473684,0.22988505747126436,4,20,24
HEURISTIC,Trajectory sensitive,0.16666666666666666,0.2,2,2,4
HEURISTIC,Strict verification,0.0,0.6666666666666666,0,2,2
